,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
gender,남자,남자,여,남,김민경,여,남자,여,여자,남,박종범,남,여성,여,여,여자,여,여,여,강예림,여성,여,여자,남,남,남자,남자,남자,한지민,여성,male,남
age,26,26,23,25,26,27,38,35,23,23,26,26,23,26,23,21,27,23,26,28,23,22,23,27,26,26,23,23,21,22,22,23
timeStamp,2025. 8. 22 오후 8:38:46,2025. 8. 22 오후 8:42:31,2025. 8. 20 오전 10:51:30,2025. 8. 20 오전 11:26:17,2025. 8. 25 오전 10:54:11,2025. 8. 25 오전 10:53:26,2025. 8. 19 오후 2:20:44,2025. 8. 19 오후 2:22:25,2025. 8. 18 오후 2:11:56,2025. 8. 18 오후 2:12:07,2025. 8. 17 오전 11:08:54,2025. 8. 17 오전 11:12:07,2025. 8. 17 오후 2:00:43,2025. 8. 17 오후 1:53:01,2025. 8. 17 오후 4:57:23,2025. 8. 17 오후 5:00:07,2025. 8. 19 오후 4:53:49,2025. 8. 19 오후 4:56:56,2025. 8. 23 오후 7:54:09,2025. 8. 23 오후 7:54:02,2025. 8. 24 오후 4:56:29,2025. 8. 24 오후 5:00:31,2025. 8. 16 오후 5:19:27,2025. 8. 16 오후 5:20:26,2025. 8. 18 오후 4:42:20,2025. 8. 18 오후 4:42:15,2025. 8. 25 오후 2:07:20,2025. 8. 25 오후 2:10:59,2025. 8. 22 오후 10:39:37,2025. 8. 22 오후 10:37:22,2025. 8. 19 오후 8:06:20,2025. 8. 19 오후 8:06:11
knownPeriod,5년 이상,5년 이상,2년 이상 5년 미만,2년 이상 5년 미만,5년 이상,5년 이상,5년 이상,5년 이상,5년 이상,5년 이상,5년 이상,5년 이상,2년 이상 5년 미만,2년 이상 5년 미만,1년 이상 2년 미만,1년 이상 2년 미만,5년 이상,5년 이상,5년 이상,5년 이상,2년 이상 5년 미만,2년 이상 5년 미만,2년 이상 5년 미만,2년 이상 5년 미만,5년 이상,5년 이상,5년 이상,5년 이상,5년 이상,5년 이상,2년 이상 5년 미만,2년 이상 5년 미만
recv_excited_1_arousal,,4,,7,,6,,6,,5,,6,,7,,6,,6,,7,,6,,6,,7,,7,,6,,7
recv_excited_1_expression,,4,,7,,6,,6,,7,,7,,7,,7,,5,,7,,6,,5,,6,,7,,7,,7
recv_excited_1_valence,,5,,7,,6,,6,,7,,7,,7,,6,,6,,6,,7,,6,,7,,7,,7,,7
recv_excited_2_arousal,2,,6,,2,,7,,7,,6,,6,,6,,7,,5,,5,,6,,7,,7,,7,,4,
recv_excited_2_expression,5,,6,,6,,7,,7,,7,,5,,7,,7,,5,,6,,5,,7,,5,,7,,2,
recv_excited_2_valence,5,,6,,7,,7,,7,,7,,6,,6,,7,,6,,5,,5,,7,,7,,7,,4,
recv_excited_o_arousal,1,6,6,7,2,6,6,7,7,5,7,6,6,7,7,6,5,6,5,6,6,6,7,7,7,7,7,7,6,6,5,7
recv_excited_o_expression,6,7,7,7,6,6,6,7,7,7,7,7,6,7,7,6,6,6,5,7,6,7,7,6,7,4,5,7,5,6,5,7
recv_excited_o_valence,7,6,6,7,7,7,6,6,7,7,7,7,6,7,7,6,6,7,6,7,6,6,7,7,7,7,7,7,6,6,5,7
recv_experience_excited_known_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recv_experience_excited_known_level_2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
recv_experience_excited_known_level_3,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,
recv_experience_excited_known_level_4,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True
send_excited_1_arousal,2,,6,,3,,7,,7,,6,,5,,6,,5,,5,,7,,7,,7,,5,,7,,4,
send_excited_1_expression,4,,7,,3,,7,,7,,7,,6,,6,,7,,6,,7,,6,,7,,4,,6,,1,
send_excited_1_valence,5,,7,,3,,7,,6,,7,,7,,6,,6,,6,,7,,7,,7,,7,,6,,6,
send_excited_2_arousal,,5,,7,,6,,5,,5,,6,,7,,7,,6,,7,,7,,6,,7,,7,,6,,7
send_excited_2_expression,,4,,7,,6,,6,,7,,7,,7,,6,,6,,7,,6,,6,,7,,7,,7,,6
send_excited_2_valence,,6,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,6,,7,,7,,7,,6
send_excited_o_arousal,2,5,6,7,2,5,5,6,6,5,6,6,5,7,7,6,5,6,5,6,7,7,7,6,7,7,5,7,5,6,5,7
send_excited_o_expression,6,6,7,7,6,5,5,6,7,7,7,7,5,7,7,6,6,6,6,5,7,7,7,6,7,6,7,7,4,6,2,7
send_excited_o_valence,7,6,7,7,6,6,6,7,7,7,7,7,6,7,7,7,6,7,6,6,6,7,7,6,7,7,7,7,5,7,6,7
send_experience_excited_known_level_1,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,
send_experience_excited_known_level_2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
send_experience_excited_known_level_3,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,
send_experience_excited_known_level_4,True,True,True,True,,True,True,,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True
recv_surprise_1_arousal,,5,,7,,5,,5,,5,,7,,7,,6,,7,,3,,6,,6,,6,,7,,4,,7
recv_surprise_1_expression,,6,,7,,5,,6,,7,,7,,7,,6,,6,,4,,6,,6,,6,,7,,6,,7
recv_surprise_1_valence,,6,,7,,5,,6,,7,,7,,7,,7,,7,,4,,7,,7,,6,,7,,6,,7
